feature,importance,fold
CC_AMT_DRAWINGS_POS_CURRENT_VAR,0,6
CC_AMT_INST_MIN_REGULARITY_MAX,0,6
PREV_AMT_GOODS_PRICE_MIN,0,6
PREV_AMT_GOODS_PRICE_MEAN,0,6
CC_AMT_INST_MIN_REGULARITY_MIN,0,6
CC_AMT_INST_MIN_REGULARITY_SUM,0,6
CC_AMT_INST_MIN_REGULARITY_VAR,0,6
PREV_AMT_CREDIT_MAX,0,6
PREV_CHANNEL_TYPE_Stone_MEAN,0,6
PREV_AMT_APPLICATION_MIN,0,6
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0,6
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0,6
PREV_AMT_ANNUITY_MEAN,0,6
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,0,6
POS_SK_DPD_MAX,0,6
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,0,6
CC_AMT_RECIVABLE_MAX,0,6
POS_NAME_CONTRACT_STATUS_nan_MEAN,0,6
POS_NAME_CONTRACT_STATUS_XNA_MEAN,0,6
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0,6
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,0,6
PREV_CHANNEL_TYPE_Regional / Local_MEAN,0,6
PREV_CHANNEL_TYPE_nan_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,0,6
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a new car_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a home_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a garage_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Business development_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN,0,6
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,0,6
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0,6
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,6
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0,6
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0,6
CC_AMT_DRAWINGS_CURRENT_MAX,0,6
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,0,6
PREV_DAYS_DECISION_MAX,0,6
PREV_CODE_REJECT_REASON_nan_MEAN,0,6
PREV_CODE_REJECT_REASON_XNA_MEAN,0,6
